"","Method.A","Method.B","Mean","Difference","Diff.Mean.Proportion"
"1",1,8,4.5,-7,"-155.60%"
"2",5,16,10.5,-11,"-104.80%"
"3",10,30,20,-20,"-100.00%"
"4",20,24,22,-4,"-18.20%"
"5",50,39,44.5,11,"24.70%"
"6",40,54,47,-14,"-29.80%"
"7",50,40,45,10,"22.20%"
"8",60,68,64,-8,"-12.50%"
"9",70,72,71,-2,"-2.80%"
"10",80,62,71,18,"25.40%"
"11",90,122,106,-32,"-30.20%"
"12",100,80,90,20,"22.20%"
"13",150,181,165.5,-31,"-18.70%"
"14",200,259,229.5,-59,"-25.70%"
"15",250,275,262.5,-25,"-9.50%"
"16",300,380,340,-80,"-23.50%"
"17",350,320,335,30,"9.00%"
"18",400,434,417,-34,"-8.20%"
"19",450,479,464.5,-29,"-6.20%"
"20",500,587,543.5,-87,"-16.00%"
"21",550,626,588,-76,"-12.90%"
"22",600,648,624,-48,"-7.70%"
"23",650,738,694,-88,"-12.70%"
"24",700,766,733,-66,"-9.00%"
"25",750,793,771.5,-43,"-5.60%"
"26",800,851,825.5,-51,"-6.20%"
"27",850,871,860.5,-21,"-2.40%"
"28",900,957,928.5,-57,"-6.10%"
"29",950,1001,975.5,-51,"-5.20%"
"30",1000,960,980,40,"4.10%"
